stops,ticket price,departure,arrival,flight duration,airline,plane,timings,plane code
Nonstop,182.30, Sacramento, San Francisco,0 days 1 hours 14 minutes,United ,Canadair RJ,Sacramento CA (SMF-Sacramento Intl.) 9:46am San Francisco CA (SFO-San Francisco Intl.) 11:00am - ,CRJ
Nonstop,182.30, Sacramento, San Francisco,0 days 1 hours 1 minutes,United ,Embraer 175 (Enhanced Winglets),Sacramento CA (SMF-Sacramento Intl.) 8:54pm San Francisco CA (SFO-San Francisco Intl.) 9:55pm - ,E7W
Nonstop,182.30, Sacramento, San Francisco,0 days 0 hours 55 minutes,United ,Boeing 737-900,Sacramento CA (SMF-Sacramento Intl.) 6:00am San Francisco CA (SFO-San Francisco Intl.) 6:55am - ,739
1 Stop,191.00, Sacramento, San Francisco,0 days 6 hours 22 minutes,United ,Embraer 175 (Enhanced Winglets),Sacramento CA (SMF-Sacramento Intl.) 6:00am Los Angeles CA (LAX-Los Angeles Intl.) 7:47am - Los Angeles CA (LAX-Los Angeles Intl.) 10:45am San Francisco CA (SFO-San Francisco Intl.) 12:22pm - ,E7W
1 Stop,191.00, Sacramento, San Francisco,0 days 5 hours 21 minutes,United ,Embraer 175 (Enhanced Winglets),Sacramento CA (SMF-Sacramento Intl.) 10:17am Los Angeles CA (LAX-Los Angeles Intl.) 12:04pm - Los Angeles CA (LAX-Los Angeles Intl.) 2:00pm San Francisco CA (SFO-San Francisco Intl.) 3:38pm - ,E7W
1 Stop,191.00, Sacramento, San Francisco,0 days 5 hours 7 minutes,United ,Embraer 175 (Enhanced Winglets),Sacramento CA (SMF-Sacramento Intl.) 6:00am Los Angeles CA (LAX-Los Angeles Intl.) 7:47am - Los Angeles CA (LAX-Los Angeles Intl.) 9:30am San Francisco CA (SFO-San Francisco Intl.) 11:07am - ,E7W
1 Stop,191.00, Sacramento, San Francisco,0 days 7 hours 20 minutes,United ,Embraer 175 (Enhanced Winglets),Sacramento CA (SMF-Sacramento Intl.) 4:55pm Los Angeles CA (LAX-Los Angeles Intl.) 6:46pm - Los Angeles CA (LAX-Los Angeles Intl.) 10:45pm San Francisco CA (SFO-San Francisco Intl.) 12:15am - ,E7W
1 Stop,191.00, Sacramento, San Francisco,0 days 6 hours 57 minutes,United ,Embraer 175 (Enhanced Winglets),Sacramento CA (SMF-Sacramento Intl.) 10:17am Los Angeles CA (LAX-Los Angeles Intl.) 12:04pm - Los Angeles CA (LAX-Los Angeles Intl.) 3:45pm San Francisco CA (SFO-San Francisco Intl.) 5:14pm - ,E7W
2 Stop,318.80, Sacramento, San Francisco,0 days 15 hours 3 minutes,United ,Embraer 175 (Enhanced Winglets),Sacramento CA (SMF-Sacramento Intl.) 4:55pm Los Angeles CA (LAX-Los Angeles Intl.) 6:46pm - Los Angeles CA (LAX-Los Angeles Intl.) 10:22pm San Diego CA (SAN-San Diego Intl.) 11:20pm - San Diego CA (SAN-San Diego Intl.) 6:15am San Francisco CA (SFO-San Francisco Intl.) 7:58am - ,E7W
